                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9016,                 6.1166,                 4.3664,                0.00054,                0.11647,                0.00093,                0.00042,                 4.6551,                 7.0902,                 4.1615,                0.00024,                0.00024,                0.00024
                      2,                 3.8923,                  5.723,                 4.2021,                0.00053,                0.11647,                0.00089,                0.00038,                 4.6517,                 7.0535,                  4.166,             0.00049505,             0.00049505,             0.00049505
                      3,                 3.6697,                 5.1841,                 4.1068,                0.00054,                0.12048,                0.00118,                0.00035,                 4.6419,                 6.7404,                 4.1799,             0.00074495,             0.00074495,             0.00074495
                      4,                 3.5145,                 5.2265,                 3.7595,                0.00054,                0.12048,                0.00089,                0.00033,                 4.6695,                 6.5309,                 4.2504,             0.00098971,             0.00098971,             0.00098971
                      5,                 3.4144,                 4.5521,                 3.3756,                0.00061,                0.10843,                0.00247,                0.00064,                 4.6652,                 6.2985,                 4.4126,              0.0012293,              0.0012293,              0.0012293
                      6,                 3.1887,                  4.234,                 3.3331,                0.00147,                 0.1004,                0.00177,                0.00071,                 4.6405,                 5.6059,                 4.9543,              0.0014638,              0.0014638,              0.0014638
                      7,                 3.1743,                 3.9518,                 3.1109,                0.00197,                0.07631,                0.00243,                0.00079,                 4.5469,                 5.0242,                 4.9233,              0.0016931,              0.0016931,              0.0016931
                      8,                 2.9697,                 3.6961,                 3.1406,                0.28107,                0.07631,                0.06287,                0.02481,                 3.0615,                 4.1237,                 3.0822,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.9182,                 3.7158,                 2.8986,                0.17972,                0.14458,                0.05747,                0.01756,                 2.8413,                 6.2654,                 2.7951,              0.0018416,              0.0018416,              0.0018416
                     10,                  2.881,                 3.5731,                 2.7948,                0.15633,                 0.1004,                0.03113,                0.01146,                 2.7464,                 13.155,                 2.8839,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.7432,                 3.2978,                 2.6504,                 0.0203,                0.13253,                0.00973,                0.00318,                 2.7693,                 29.628,                 3.4225,               0.001802,               0.001802,               0.001802
                     12,                 2.5969,                 3.2463,                 2.7191,                0.20864,                0.26104,                0.14987,                0.05921,                 2.5464,                 6.4587,                 2.7842,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.7255,                 3.2008,                  2.669,                0.24708,                0.27809,                0.17863,                0.06549,                 2.5524,                 4.8061,                 2.8562,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.5403,                 3.0878,                 2.5221,                0.25204,                0.34239,                0.17684,                0.05465,                 2.4872,                 6.8573,                 2.6851,              0.0017426,              0.0017426,              0.0017426
                     15,                  2.456,                 2.9103,                 2.4238,                0.16785,                0.28112,                0.16787,                0.07031,                  2.327,                 12.168,                 2.5041,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.5764,                 2.9866,                 2.5191,                0.35076,                 0.3494,                0.25376,                 0.0937,                 2.2676,                 3.4391,                 2.2294,               0.001703,               0.001703,               0.001703
                     17,                 2.4888,                 2.8218,                 2.3156,                0.36916,                0.32932,                0.21621,                0.08671,                 2.0786,                 4.7583,                 2.1367,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.3666,                 2.8024,                 2.3853,                0.35029,                0.32932,                0.26904,                 0.1149,                 2.1168,                 3.1053,                 2.1107,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.3472,                  2.796,                 2.3151,                0.11617,                 0.3885,                0.07744,                0.03257,                 2.0788,                 4.1375,                 2.0849,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.3196,                 2.7911,                 2.2679,                 0.3132,                0.33735,                0.25928,                0.10881,                 2.1221,                 3.1019,                 2.0453,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.3295,                 2.8113,                 2.3521,                0.35181,                0.32129,                0.30314,                0.14376,                 1.9195,                  2.739,                 1.9281,               0.001604,               0.001604,               0.001604
                     22,                 2.2748,                  2.659,                 2.1631,                 0.4309,                0.28916,                0.26209,                0.13588,                  1.871,                 2.5879,                 1.9018,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.3244,                 2.6319,                 2.2557,                0.40874,                0.36145,                0.34396,                0.15236,                 1.9512,                 2.5669,                 1.9293,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.1658,                  2.507,                  2.041,                0.38193,                0.34137,                 0.2928,                0.14217,                 1.9275,                 2.8416,                 1.9562,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.1702,                 2.5517,                 2.1484,                0.22071,                0.37751,                0.16635,                0.07566,                 1.9638,                 2.8206,                 1.9115,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.2284,                 2.4561,                 2.1957,                0.05482,                0.45783,                0.04249,                0.01961,                  1.933,                 7.2762,                 1.9549,               0.001505,               0.001505,               0.001505
                     27,                 2.1736,                 2.4228,                 2.0548,                0.45841,                 0.3494,                0.32471,                0.16677,                 1.9559,                 2.5572,                 1.9068,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.0309,                 2.1781,                 1.9157,                0.59376,                0.32129,                0.38771,                0.22527,                  1.754,                 2.2882,                 1.7964,              0.0014654,              0.0014654,              0.0014654
                     29,                  2.207,                 2.4439,                 2.1516,                0.58906,                0.40298,                0.42022,                 0.2168,                 1.7311,                 2.0389,                 1.7735,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.0807,                 2.2646,                 1.9839,                0.63265,                0.41767,                0.47481,                0.25564,                 1.6706,                 1.9851,                 1.7034,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.9583,                  2.165,                 1.9395,                0.68235,                0.38153,                0.46338,                0.24631,                 1.7024,                 1.9849,                    1.7,               0.001406,               0.001406,               0.001406
